alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n
0.05,fltrust_aligned,Discrete+AdaAggRL-detector,0.7565,0.0,0.7565,0.7565,1.0
0.05,gaussian_noise,Discrete+AdaAggRL-detector,0.5488999999999999,0.0,0.5488999999999999,0.5488999999999999,1.0
0.05,krum_collusion,Discrete+AdaAggRL-detector,0.5856999999999999,0.0,0.5856999999999999,0.5856999999999999,1.0
0.05,label_flipping,Discrete+AdaAggRL-detector,0.42139999999999994,0.0,0.42139999999999994,0.42139999999999994,1.0
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector,0.7175,0.0,0.7175,0.7175,1.0
0.05,sign_flipping,Discrete+AdaAggRL-detector,0.5498000000000001,0.0,0.5498000000000001,0.5498000000000001,1.0
0.05,trim_attack,Discrete+AdaAggRL-detector,0.6060999999999999,0.0,0.6060999999999999,0.6060999999999999,1.0
0.1,fltrust_aligned,Discrete+AdaAggRL-detector,0.7462,0.0,0.7462,0.7462,1.0
0.1,gaussian_noise,Discrete+AdaAggRL-detector,0.6623999999999999,0.0,0.6623999999999999,0.6623999999999999,1.0
0.1,krum_collusion,Discrete+AdaAggRL-detector,0.6432,0.0,0.6432,0.6432,1.0
0.1,label_flipping,Discrete+AdaAggRL-detector,0.7329000000000001,0.0,0.7329000000000001,0.7329000000000001,1.0
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8526999999999999,0.0,0.8526999999999999,0.8526999999999999,1.0
0.1,sign_flipping,Discrete+AdaAggRL-detector,0.6060999999999999,0.0,0.6060999999999999,0.6060999999999999,1.0
0.1,trim_attack,Discrete+AdaAggRL-detector,0.4861999999999999,0.0,0.4861999999999999,0.4861999999999999,1.0
0.5,fltrust_aligned,Discrete+AdaAggRL-detector,0.8891,0.0,0.8891,0.8891,1.0
0.5,gaussian_noise,Discrete+AdaAggRL-detector,0.7888,0.0,0.7888,0.7888,1.0
0.5,krum_collusion,Discrete+AdaAggRL-detector,0.8849,0.0,0.8849,0.8849,1.0
0.5,label_flipping,Discrete+AdaAggRL-detector,0.8699999999999999,0.0,0.8699999999999999,0.8699999999999999,1.0
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8392999999999999,0.0,0.8392999999999999,0.8392999999999999,1.0
0.5,sign_flipping,Discrete+AdaAggRL-detector,0.8296000000000001,0.0,0.8296000000000001,0.8296000000000001,1.0
0.5,trim_attack,Discrete+AdaAggRL-detector,0.8647,0.0,0.8647,0.8647,1.0
