alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n,best_fixed_rule,best_fixed_rule_accuracy
0.05,fltrust_aligned,Discrete+AdaAggRL-detector,0.7563,0.0,0.7563,0.7563,1.0,krum,0.89598
0.05,gaussian_noise,Discrete+AdaAggRL-detector,0.4746,0.0,0.4746,0.4746,1.0,trimmed_mean,0.73821
0.05,krum_collusion,Discrete+AdaAggRL-detector,0.6796000000000001,0.0,0.6796000000000001,0.6796000000000001,1.0,fltrust,0.6399
0.05,label_flipping,Discrete+AdaAggRL-detector,0.4363,0.0,0.4363,0.4363,1.0,fltrust,0.63995
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector,0.7167,0.0,0.7167,0.7167,1.0,trimmed_mean,0.76468
0.05,sign_flipping,Discrete+AdaAggRL-detector,0.5565000000000001,0.0,0.5565000000000001,0.5565000000000001,1.0,fltrust,0.6482699999999999
0.05,trim_attack,Discrete+AdaAggRL-detector,0.6110000000000001,0.0,0.6110000000000001,0.6110000000000001,1.0,fltrust,0.6490400000000001
0.1,fltrust_aligned,Discrete+AdaAggRL-detector,0.7533,0.0,0.7533,0.7533,1.0,krum,0.89445
0.1,gaussian_noise,Discrete+AdaAggRL-detector,0.6265000000000001,0.0,0.6265000000000001,0.6265000000000001,1.0,trimmed_mean,0.8051900000000002
0.1,krum_collusion,Discrete+AdaAggRL-detector,0.6439,0.0,0.6439,0.6439,1.0,fltrust,0.62514
0.1,label_flipping,Discrete+AdaAggRL-detector,0.7391,0.0,0.7391,0.7391,1.0,fltrust,0.62377
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8538,0.0,0.8538,0.8538,1.0,trimmed_mean,0.8310599999999999
0.1,sign_flipping,Discrete+AdaAggRL-detector,0.6113999999999999,0.0,0.6113999999999999,0.6113999999999999,1.0,fltrust,0.6227699999999999
0.1,trim_attack,Discrete+AdaAggRL-detector,0.46579999999999994,0.0,0.46579999999999994,0.46579999999999994,1.0,fltrust,0.62287
0.5,fltrust_aligned,Discrete+AdaAggRL-detector,0.8863,0.0,0.8863,0.8863,1.0,median,0.89978
0.5,gaussian_noise,Discrete+AdaAggRL-detector,0.8017000000000001,0.0,0.8017000000000001,0.8017000000000001,1.0,trimmed_mean,0.89474
0.5,krum_collusion,Discrete+AdaAggRL-detector,0.8831,0.0,0.8831,0.8831,1.0,krum,0.88238
0.5,label_flipping,Discrete+AdaAggRL-detector,0.8787,0.0,0.8787,0.8787,1.0,trimmed_mean,0.88595
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector,0.9010999999999999,0.0,0.9010999999999999,0.9010999999999999,1.0,trimmed_mean,0.8985899999999999
0.5,sign_flipping,Discrete+AdaAggRL-detector,0.8276999999999999,0.0,0.8276999999999999,0.8276999999999999,1.0,krum,0.8844100000000001
0.5,trim_attack,Discrete+AdaAggRL-detector,0.8749,0.0,0.8749,0.8749,1.0,trimmed_mean,0.86913
