alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n,best_fixed_rule,best_fixed_rule_accuracy
0.05,fltrust_aligned,FedStrategist,0.7396,0.0,0.7396,0.7396,1.0,krum,0.89598
0.05,gaussian_noise,FedStrategist,0.5461,0.0,0.5461,0.5461,1.0,trimmed_mean,0.73821
0.05,krum_collusion,FedStrategist,0.6785,0.0,0.6785,0.6785,1.0,fltrust,0.6399
0.05,label_flipping,FedStrategist,0.722,0.0,0.722,0.722,1.0,fltrust,0.63995
0.05,low_mag_backdoor,FedStrategist,0.7362,0.0,0.7362,0.7362,1.0,trimmed_mean,0.76468
0.05,sign_flipping,FedStrategist,0.5515,0.0,0.5515,0.5515,1.0,fltrust,0.6482699999999999
0.05,trim_attack,FedStrategist,0.367,0.0,0.367,0.367,1.0,fltrust,0.6490400000000001
0.1,fltrust_aligned,FedStrategist,0.7475999999999999,0.0,0.7475999999999999,0.7475999999999999,1.0,krum,0.89445
0.1,gaussian_noise,FedStrategist,0.6407,0.0,0.6407,0.6407,1.0,trimmed_mean,0.8051900000000002
0.1,krum_collusion,FedStrategist,0.65,0.0,0.65,0.65,1.0,fltrust,0.62514
0.1,label_flipping,FedStrategist,0.7897,0.0,0.7897,0.7897,1.0,fltrust,0.62377
0.1,low_mag_backdoor,FedStrategist,0.8537999999999999,0.0,0.8537999999999999,0.8537999999999999,1.0,trimmed_mean,0.8310599999999999
0.1,sign_flipping,FedStrategist,0.6083000000000001,0.0,0.6083000000000001,0.6083000000000001,1.0,fltrust,0.6227699999999999
0.1,trim_attack,FedStrategist,0.46630000000000005,0.0,0.46630000000000005,0.46630000000000005,1.0,fltrust,0.62287
0.5,fltrust_aligned,FedStrategist,0.8845000000000001,0.0,0.8845000000000001,0.8845000000000001,1.0,median,0.89978
0.5,gaussian_noise,FedStrategist,0.8016,0.0,0.8016,0.8016,1.0,trimmed_mean,0.89474
0.5,krum_collusion,FedStrategist,0.8762000000000001,0.0,0.8762000000000001,0.8762000000000001,1.0,krum,0.88238
0.5,label_flipping,FedStrategist,0.8775000000000001,0.0,0.8775000000000001,0.8775000000000001,1.0,trimmed_mean,0.88595
0.5,low_mag_backdoor,FedStrategist,0.8412,0.0,0.8412,0.8412,1.0,trimmed_mean,0.8985899999999999
0.5,sign_flipping,FedStrategist,0.8013,0.0,0.8013,0.8013,1.0,krum,0.8844100000000001
0.5,trim_attack,FedStrategist,0.8589,0.0,0.8589,0.8589,1.0,trimmed_mean,0.86913
