system,mean_diff,p_value,cohens_d,n
AdaAggRL,0.020198095238095227,0.051712125612251435,0.7088405444651807,10
FedStrategist,-0.0537257142857143,2.2288586315268586e-06,-3.346558636659746,10
GRADF,-0.05243857142857141,0.0008932057442803667,-1.5375375757650827,10
Oracle (decoupled),0.002069999999999983,0.4730345174883259,0.23682332909125312,10
Random,-0.00997285714285714,0.11384884112931334,-0.5537422817363835,10
