alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n,best_fixed_rule,best_fixed_rule_accuracy
0.05,fltrust_aligned,Discrete+AdaAggRL-detector,0.7483,0.0,0.7483,0.7483,1.0,krum,0.89598
0.05,gaussian_noise,Discrete+AdaAggRL-detector,0.4346,0.0,0.4346,0.4346,1.0,trimmed_mean,0.73821
0.05,krum_collusion,Discrete+AdaAggRL-detector,0.44530000000000003,0.0,0.44530000000000003,0.44530000000000003,1.0,fltrust,0.6399
0.05,label_flipping,Discrete+AdaAggRL-detector,0.4321999999999999,0.0,0.4321999999999999,0.4321999999999999,1.0,fltrust,0.63995
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector,0.7181,0.0,0.7181,0.7181,1.0,trimmed_mean,0.76468
0.05,sign_flipping,Discrete+AdaAggRL-detector,0.5592,0.0,0.5592,0.5592,1.0,fltrust,0.6482699999999999
0.05,trim_attack,Discrete+AdaAggRL-detector,0.6036,0.0,0.6036,0.6036,1.0,fltrust,0.6490400000000001
0.1,fltrust_aligned,Discrete+AdaAggRL-detector,0.8478999999999999,0.0,0.8478999999999999,0.8478999999999999,1.0,krum,0.89445
0.1,gaussian_noise,Discrete+AdaAggRL-detector,0.6318,0.0,0.6318,0.6318,1.0,trimmed_mean,0.8051900000000002
0.1,krum_collusion,Discrete+AdaAggRL-detector,0.6365999999999999,0.0,0.6365999999999999,0.6365999999999999,1.0,fltrust,0.62514
0.1,label_flipping,Discrete+AdaAggRL-detector,0.7417,0.0,0.7417,0.7417,1.0,fltrust,0.62377
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8487,0.0,0.8487,0.8487,1.0,trimmed_mean,0.8310599999999999
0.1,sign_flipping,Discrete+AdaAggRL-detector,0.6207,0.0,0.6207,0.6207,1.0,fltrust,0.6227699999999999
0.1,trim_attack,Discrete+AdaAggRL-detector,0.5404,0.0,0.5404,0.5404,1.0,fltrust,0.62287
0.5,fltrust_aligned,Discrete+AdaAggRL-detector,0.8891,0.0,0.8891,0.8891,1.0,median,0.89978
0.5,gaussian_noise,Discrete+AdaAggRL-detector,0.7895000000000001,0.0,0.7895000000000001,0.7895000000000001,1.0,trimmed_mean,0.89474
0.5,krum_collusion,Discrete+AdaAggRL-detector,0.8863,0.0,0.8863,0.8863,1.0,krum,0.88238
0.5,label_flipping,Discrete+AdaAggRL-detector,0.8753,0.0,0.8753,0.8753,1.0,trimmed_mean,0.88595
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector,0.843,0.0,0.843,0.843,1.0,trimmed_mean,0.8985899999999999
0.5,sign_flipping,Discrete+AdaAggRL-detector,0.8298,0.0,0.8298,0.8298,1.0,krum,0.8844100000000001
0.5,trim_attack,Discrete+AdaAggRL-detector,0.8733000000000001,0.0,0.8733000000000001,0.8733000000000001,1.0,trimmed_mean,0.86913
