alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n,best_fixed_rule,best_fixed_rule_accuracy
0.1,label_flipping,Random,0.7476,0.0,0.7476,0.7476,1.0,fltrust,0.62377
0.1,low_mag_backdoor,AdaAggRL,0.7577,0.0,0.7577,0.7577,1.0,trimmed_mean,0.8310599999999999
0.1,low_mag_backdoor,FedStrategist,0.8541000000000001,0.0,0.8541000000000001,0.8541000000000001,1.0,trimmed_mean,0.8310599999999999
0.1,low_mag_backdoor,GRADF,0.8644000000000001,0.0,0.8644000000000001,0.8644000000000001,1.0,trimmed_mean,0.8310599999999999
0.1,low_mag_backdoor,Oracle (decoupled),0.8474,0.0,0.8474,0.8474,1.0,trimmed_mean,0.8310599999999999
0.1,low_mag_backdoor,Random,0.8713999999999998,0.0,0.8713999999999998,0.8713999999999998,1.0,trimmed_mean,0.8310599999999999
0.1,sign_flipping,AdaAggRL,0.7888000000000002,0.0,0.7888000000000002,0.7888000000000002,1.0,fltrust,0.6227699999999999
0.1,sign_flipping,FedStrategist,0.6138999999999999,0.0,0.6138999999999999,0.6138999999999999,1.0,fltrust,0.6227699999999999
0.1,sign_flipping,GRADF,0.46840000000000004,0.0,0.46840000000000004,0.46840000000000004,1.0,fltrust,0.6227699999999999
0.1,sign_flipping,Oracle (decoupled),0.7114,0.0,0.7114,0.7114,1.0,fltrust,0.6227699999999999
0.1,sign_flipping,Random,0.5945,0.0,0.5945,0.5945,1.0,fltrust,0.6227699999999999
0.1,trim_attack,AdaAggRL,0.8289,0.0,0.8289,0.8289,1.0,fltrust,0.62287
0.1,trim_attack,FedStrategist,0.4680999999999999,0.0,0.4680999999999999,0.4680999999999999,1.0,fltrust,0.62287
0.1,trim_attack,GRADF,0.19140000000000001,0.0,0.19140000000000001,0.19140000000000001,1.0,fltrust,0.62287
0.1,trim_attack,Oracle (decoupled),0.5025,0.0,0.5025,0.5025,1.0,fltrust,0.62287
0.1,trim_attack,Random,0.6023999999999999,0.0,0.6023999999999999,0.6023999999999999,1.0,fltrust,0.62287
0.5,fltrust_aligned,AdaAggRL,0.882,0.0,0.882,0.882,1.0,median,0.89978
0.5,fltrust_aligned,FedStrategist,0.883,0.0,0.883,0.883,1.0,median,0.89978
0.5,fltrust_aligned,GRADF,0.8905000000000001,0.0,0.8905000000000001,0.8905000000000001,1.0,median,0.89978
0.5,fltrust_aligned,Oracle (decoupled),0.8794000000000001,0.0,0.8794000000000001,0.8794000000000001,1.0,median,0.89978
0.5,fltrust_aligned,Random,0.8869,0.0,0.8869,0.8869,1.0,median,0.89978
0.5,gaussian_noise,AdaAggRL,0.8968,0.0,0.8968,0.8968,1.0,trimmed_mean,0.89474
0.5,gaussian_noise,FedStrategist,0.8062000000000001,0.0,0.8062000000000001,0.8062000000000001,1.0,trimmed_mean,0.89474
0.5,gaussian_noise,GRADF,0.8956999999999999,0.0,0.8956999999999999,0.8956999999999999,1.0,trimmed_mean,0.89474
0.5,gaussian_noise,Oracle (decoupled),0.8954000000000001,0.0,0.8954000000000001,0.8954000000000001,1.0,trimmed_mean,0.89474
0.5,gaussian_noise,Random,0.8934000000000001,0.0,0.8934000000000001,0.8934000000000001,1.0,trimmed_mean,0.89474
0.5,krum_collusion,AdaAggRL,0.8928,0.0,0.8928,0.8928,1.0,krum,0.88238
0.5,krum_collusion,FedStrategist,0.8687000000000001,0.0,0.8687000000000001,0.8687000000000001,1.0,krum,0.88238
0.5,krum_collusion,GRADF,0.8680999999999999,0.0,0.8680999999999999,0.8680999999999999,1.0,krum,0.88238
0.5,krum_collusion,Oracle (decoupled),0.8696999999999999,0.0,0.8696999999999999,0.8696999999999999,1.0,krum,0.88238
0.5,krum_collusion,Random,0.8782,0.0,0.8782,0.8782,1.0,krum,0.88238
0.5,label_flipping,AdaAggRL,0.5932000000000001,0.0,0.5932000000000001,0.5932000000000001,1.0,trimmed_mean,0.88595
0.5,label_flipping,FedStrategist,0.8761000000000001,0.0,0.8761000000000001,0.8761000000000001,1.0,trimmed_mean,0.88595
0.5,label_flipping,GRADF,0.8573999999999999,0.0,0.8573999999999999,0.8573999999999999,1.0,trimmed_mean,0.88595
0.5,label_flipping,Oracle (decoupled),0.8975,0.0,0.8975,0.8975,1.0,trimmed_mean,0.88595
0.5,label_flipping,Random,0.8535,0.0,0.8535,0.8535,1.0,trimmed_mean,0.88595
0.5,low_mag_backdoor,AdaAggRL,0.8341,0.0,0.8341,0.8341,1.0,trimmed_mean,0.8985899999999999
0.5,low_mag_backdoor,FedStrategist,0.9016,0.0,0.9016,0.9016,1.0,trimmed_mean,0.8985899999999999
