alpha,attack_type,strategy,accuracy,seed
0.5,trim_attack,trimmed_mean,0.8695999999999999,44
0.5,trim_attack,krum,0.8864000000000001,44
0.5,krum_collusion,median,0.8641,44
0.5,krum_collusion,trimmed_mean,0.8802999999999999,44
0.5,krum_collusion,krum,0.8872,44
0.5,low_mag_backdoor,median,0.8963000000000001,44
0.5,low_mag_backdoor,trimmed_mean,0.8984,44
0.5,low_mag_backdoor,krum,0.8832000000000001,44
0.5,sign_flipping,median,0.8597999999999999,44
0.5,sign_flipping,trimmed_mean,0.8728,44
0.5,sign_flipping,krum,0.8849,44
0.5,gaussian_noise,median,0.8933,44
0.5,gaussian_noise,trimmed_mean,0.8958999999999999,44
0.5,gaussian_noise,krum,0.8436,44
0.5,label_flipping,median,0.8767999999999999,44
0.5,label_flipping,trimmed_mean,0.8866000000000002,44
0.5,label_flipping,krum,0.8872,44
0.1,fltrust_aligned,median,0.8352,44
0.1,fltrust_aligned,trimmed_mean,0.8716999999999999,44
0.1,fltrust_aligned,krum,0.8943999999999999,44
0.1,trim_attack,median,0.4039,44
0.1,trim_attack,trimmed_mean,0.3934,44
0.1,trim_attack,krum,0.1942,44
0.1,krum_collusion,median,0.4253,44
0.1,krum_collusion,trimmed_mean,0.4302,44
0.1,krum_collusion,krum,0.1947,44
0.1,low_mag_backdoor,median,0.7392,44
0.1,low_mag_backdoor,trimmed_mean,0.8312999999999999,44
0.1,low_mag_backdoor,krum,0.5412000000000001,44
0.1,sign_flipping,median,0.4201,44
0.1,sign_flipping,trimmed_mean,0.4383,44
0.1,sign_flipping,krum,0.1939,44
0.1,gaussian_noise,median,0.6332000000000001,44
0.1,gaussian_noise,trimmed_mean,0.8091000000000002,44
0.1,gaussian_noise,krum,0.1943,44
0.1,label_flipping,median,0.5276,44
0.1,label_flipping,trimmed_mean,0.5911,44
0.1,label_flipping,krum,0.1937,44
0.05,fltrust_aligned,median,0.6773,44
0.05,fltrust_aligned,trimmed_mean,0.8480999999999999,44
0.05,fltrust_aligned,krum,0.8964000000000001,44
0.05,trim_attack,median,0.3719,44
0.05,trim_attack,trimmed_mean,0.4159,44
0.05,trim_attack,krum,0.3102,44
0.05,krum_collusion,median,0.4544,44
0.05,krum_collusion,trimmed_mean,0.4716999999999999,44
0.05,krum_collusion,krum,0.3098999999999999,44
0.05,low_mag_backdoor,median,0.6133,44
0.05,low_mag_backdoor,trimmed_mean,0.7651000000000001,44
0.05,low_mag_backdoor,krum,0.3281,44
0.05,sign_flipping,median,0.4585000000000001,44
0.05,sign_flipping,trimmed_mean,0.508,44
0.05,sign_flipping,krum,0.098,44
0.05,gaussian_noise,median,0.5667000000000001,44
0.05,gaussian_noise,trimmed_mean,0.7321,44
