alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n,best_fixed_rule,best_fixed_rule_accuracy
0.05,fltrust_aligned,FedStrategist,0.7306999999999999,0.0,0.7306999999999999,0.7306999999999999,1.0,krum,0.89598
0.05,gaussian_noise,FedStrategist,0.488,0.0,0.488,0.488,1.0,trimmed_mean,0.73821
0.05,krum_collusion,FedStrategist,0.62,0.0,0.62,0.62,1.0,fltrust,0.6399
0.05,label_flipping,FedStrategist,0.44519999999999993,0.0,0.44519999999999993,0.44519999999999993,1.0,fltrust,0.63995
0.05,low_mag_backdoor,FedStrategist,0.8337,0.0,0.8337,0.8337,1.0,trimmed_mean,0.76468
0.05,sign_flipping,FedStrategist,0.5494,0.0,0.5494,0.5494,1.0,fltrust,0.6482699999999999
0.05,trim_attack,FedStrategist,0.6106999999999999,0.0,0.6106999999999999,0.6106999999999999,1.0,fltrust,0.6490400000000001
0.1,fltrust_aligned,FedStrategist,0.7823,0.0,0.7823,0.7823,1.0,krum,0.89445
0.1,gaussian_noise,FedStrategist,0.7329,0.0,0.7329,0.7329,1.0,trimmed_mean,0.8051900000000002
0.1,krum_collusion,FedStrategist,0.613,0.0,0.613,0.613,1.0,fltrust,0.62514
0.1,label_flipping,FedStrategist,0.7933,0.0,0.7933,0.7933,1.0,fltrust,0.62377
0.1,low_mag_backdoor,FedStrategist,0.8529,0.0,0.8529,0.8529,1.0,trimmed_mean,0.8310599999999999
0.1,sign_flipping,FedStrategist,0.6063999999999999,0.0,0.6063999999999999,0.6063999999999999,1.0,fltrust,0.6227699999999999
0.1,trim_attack,FedStrategist,0.6186,0.0,0.6186,0.6186,1.0,fltrust,0.62287
0.5,fltrust_aligned,FedStrategist,0.8837999999999999,0.0,0.8837999999999999,0.8837999999999999,1.0,median,0.89978
0.5,gaussian_noise,FedStrategist,0.8051,0.0,0.8051,0.8051,1.0,trimmed_mean,0.89474
0.5,krum_collusion,FedStrategist,0.8189,0.0,0.8189,0.8189,1.0,krum,0.88238
0.5,label_flipping,FedStrategist,0.884,0.0,0.884,0.884,1.0,trimmed_mean,0.88595
0.5,low_mag_backdoor,FedStrategist,0.843,0.0,0.843,0.843,1.0,trimmed_mean,0.8985899999999999
0.5,sign_flipping,FedStrategist,0.8070999999999999,0.0,0.8070999999999999,0.8070999999999999,1.0,krum,0.8844100000000001
0.5,trim_attack,FedStrategist,0.8579999999999999,0.0,0.8579999999999999,0.8579999999999999,1.0,trimmed_mean,0.86913
