alpha,attack_type,strategy,accuracy_mean,accuracy_std,ci95_low,ci95_high,n
0.05,fltrust_aligned,fltrust,0.89481,0.00033149493041202617,0.8945728628122355,0.8950471371877645,10.0
0.05,fltrust_aligned,krum,0.8960666666666667,0.0008504900548114881,0.8939539322480409,0.8981794010852925,3.0
0.05,fltrust_aligned,median,0.6776666666666668,0.00035118845842843866,0.6767942661731532,0.6785390671601803,3.0
0.05,fltrust_aligned,trimmed_mean,0.8479,0.00043588989435399387,0.8468171894752644,0.8489828105247356,3.0
0.05,gaussian_noise,fltrust,0.82086,0.012693060221151426,0.8117799317128979,0.8299400682871022,10.0
0.05,gaussian_noise,krum,0.3103333333333333,0.0005507570547286621,0.30896517696366926,0.3117014897029973,3.0
0.05,gaussian_noise,median,0.5661666666666667,0.0012858201014657757,0.5629725124620889,0.5693608208712445,3.0
0.05,gaussian_noise,trimmed_mean,0.7374333333333333,0.004826316746063561,0.7254440978955846,0.7494225687710819,3.0
0.05,krum_collusion,fltrust,0.8228899999999999,0.007641182281994458,0.8174238274847945,0.8283561725152053,10.0
0.05,krum_collusion,krum,0.3098999999999999,0.00039999999999995595,0.3089063449152999,0.3108936550846999,3.0
0.05,krum_collusion,median,0.45473333333333327,0.00041633319989316735,0.45369910433082494,0.4557675623358416,3.0
0.05,krum_collusion,trimmed_mean,0.4698666666666666,0.003262412195497847,0.4617623855005562,0.477970947832777,3.0
0.05,label_flipping,fltrust,0.82692,0.006743853168297473,0.8220957380632062,0.8317442619367937,10.0
0.05,label_flipping,krum,0.017766666666666667,5.7735026918962226e-05,0.01762324490900835,0.017910088424324982,3.0
0.05,label_flipping,median,0.5624666666666667,0.0005033222956846612,0.5612163447707916,0.5637169885625417,3.0
0.05,label_flipping,trimmed_mean,0.5959666666666666,0.0008736894948054222,0.5937963016442604,0.5981370316890728,3.0
0.05,low_mag_backdoor,fltrust,0.8724000000000001,0.002620008481750507,0.8705257588388782,0.874274241161122,10.0
0.05,low_mag_backdoor,krum,0.3279,0.00020000000000000573,0.32740317245764994,0.3283968275423501,3.0
0.05,low_mag_backdoor,median,0.6156,0.002066397831977202,0.6104667832181063,0.6207332167818937,3.0
0.05,low_mag_backdoor,trimmed_mean,0.7646000000000001,0.0004582575694955941,0.763461625089921,0.7657383749100791,3.0
0.05,sign_flipping,fltrust,0.8297000000000001,0.013116147808458614,0.8203172730854872,0.839082726914513,10.0
0.05,sign_flipping,krum,0.22639999999999996,0.11120777850492292,-0.04985543642405679,0.5026554364240567,3.0
0.05,sign_flipping,median,0.45920000000000005,0.0012124355652981928,0.4561881430891755,0.4622118569108246,3.0
0.05,sign_flipping,trimmed_mean,0.5075,0.0005000000000000004,0.5062579311441248,0.5087420688558751,3.0
0.05,trim_attack,fltrust,0.82269,0.012451546088739336,0.8137827005154084,0.8315972994845917,10.0
0.05,trim_attack,krum,0.31,0.0002645751311064404,0.3093427589392272,0.3106572410607728,3.0
0.05,trim_attack,median,0.3758666666666666,0.003464582706955213,0.36726016610884116,0.3844731672244921,3.0
0.05,trim_attack,trimmed_mean,0.4178666666666666,0.0017387735140992956,0.4135473138080999,0.4221860195252333,3.0
0.1,fltrust_aligned,fltrust,0.89552,0.0006321040701937655,0.8950678199880947,0.8959721800119053,10.0
0.1,fltrust_aligned,krum,0.8946333333333332,0.000208166599946697,0.8941162188320787,0.8951504478345876,3.0
0.1,fltrust_aligned,median,0.8341333333333333,0.0009291573243178199,0.8318251785838463,0.8364414880828203,3.0
0.1,fltrust_aligned,trimmed_mean,0.8718,0.00010000000000010001,0.8715515862288248,0.8720484137711753,3.0
0.1,gaussian_noise,fltrust,0.8490599999999999,0.007390113515892531,0.8437734312604991,0.8543465687395008,10.0
0.1,gaussian_noise,krum,0.19403333333333336,0.00030550504633038297,0.19327441672661402,0.1947922499400527,3.0
0.1,gaussian_noise,median,0.6279666666666667,0.0072431576907682005,0.609973665494875,0.6459596678384584,3.0
