alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n
0.5,fltrust_aligned,AdaAggRL,0.8731,0.0,0.8731,0.8731,1.0
0.5,fltrust_aligned,FedStrategist,0.8863,0.0,0.8863,0.8863,1.0
0.5,fltrust_aligned,GRADF,0.8880000000000001,0.0,0.8880000000000001,0.8880000000000001,1.0
0.5,fltrust_aligned,Oracle (decoupled),0.8741,0.0,0.8741,0.8741,1.0
0.5,fltrust_aligned,Random,0.8866000000000002,0.0,0.8866000000000002,0.8866000000000002,1.0
0.5,gaussian_noise,AdaAggRL,0.8962,0.0,0.8962,0.8962,1.0
0.5,gaussian_noise,FedStrategist,0.8025,0.0,0.8025,0.8025,1.0
0.5,gaussian_noise,GRADF,0.8602000000000001,0.0,0.8602000000000001,0.8602000000000001,1.0
0.5,gaussian_noise,Oracle (decoupled),0.8919,0.0,0.8919,0.8919,1.0
0.5,gaussian_noise,Random,0.8950000000000001,0.0,0.8950000000000001,0.8950000000000001,1.0
0.5,krum_collusion,AdaAggRL,0.8962999999999999,0.0,0.8962999999999999,0.8962999999999999,1.0
0.5,krum_collusion,FedStrategist,0.8869999999999999,0.0,0.8869999999999999,0.8869999999999999,1.0
0.5,krum_collusion,GRADF,0.8783999999999998,0.0,0.8783999999999998,0.8783999999999998,1.0
0.5,krum_collusion,Oracle (decoupled),0.8806999999999998,0.0,0.8806999999999998,0.8806999999999998,1.0
0.5,krum_collusion,Random,0.8801,0.0,0.8801,0.8801,1.0
0.5,label_flipping,AdaAggRL,0.5854999999999999,0.0,0.5854999999999999,0.5854999999999999,1.0
0.5,label_flipping,FedStrategist,0.8761000000000001,0.0,0.8761000000000001,0.8761000000000001,1.0
0.5,label_flipping,GRADF,0.8145,0.0,0.8145,0.8145,1.0
0.5,label_flipping,Oracle (decoupled),0.8950000000000001,0.0,0.8950000000000001,0.8950000000000001,1.0
0.5,label_flipping,Random,0.8714999999999999,0.0,0.8714999999999999,0.8714999999999999,1.0
0.5,low_mag_backdoor,AdaAggRL,0.8921999999999999,0.0,0.8921999999999999,0.8921999999999999,1.0
0.5,low_mag_backdoor,FedStrategist,0.8427,0.0,0.8427,0.8427,1.0
0.5,low_mag_backdoor,GRADF,0.9001000000000001,0.0,0.9001000000000001,0.9001000000000001,1.0
0.5,low_mag_backdoor,Oracle (decoupled),0.9033999999999999,0.0,0.9033999999999999,0.9033999999999999,1.0
0.5,low_mag_backdoor,Random,0.9003,0.0,0.9003,0.9003,1.0
0.5,sign_flipping,AdaAggRL,0.8905999999999998,0.0,0.8905999999999998,0.8905999999999998,1.0
0.5,sign_flipping,FedStrategist,0.8261,0.0,0.8261,0.8261,1.0
0.5,sign_flipping,GRADF,0.8593,0.0,0.8593,0.8593,1.0
0.5,sign_flipping,Oracle (decoupled),0.8924999999999998,0.0,0.8924999999999998,0.8924999999999998,1.0
0.5,sign_flipping,Random,0.8585,0.0,0.8585,0.8585,1.0
0.5,trim_attack,AdaAggRL,0.8967,0.0,0.8967,0.8967,1.0
0.5,trim_attack,FedStrategist,0.8613,0.0,0.8613,0.8613,1.0
0.5,trim_attack,GRADF,0.8609,0.0,0.8609,0.8609,1.0
0.5,trim_attack,Oracle (decoupled),0.8413999999999999,0.0,0.8413999999999999,0.8413999999999999,1.0
0.5,trim_attack,Random,0.8356999999999999,0.0,0.8356999999999999,0.8356999999999999,1.0
