alpha,attack_type,system,accuracy,seed
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8402999999999998,46
0.5,sign_flipping,Discrete+AdaAggRL-detector,0.8284,46
0.5,gaussian_noise,Discrete+AdaAggRL-detector,0.7718999999999999,46
0.5,label_flipping,Discrete+AdaAggRL-detector,0.8782,46
0.1,fltrust_aligned,Discrete+AdaAggRL-detector,0.7813000000000001,46
0.1,trim_attack,Discrete+AdaAggRL-detector,0.4559,46
0.1,krum_collusion,Discrete+AdaAggRL-detector,0.6475000000000002,46
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8531000000000001,46
0.1,sign_flipping,Discrete+AdaAggRL-detector,0.6215999999999999,46
0.1,gaussian_noise,Discrete+AdaAggRL-detector,0.6315000000000001,46
0.1,label_flipping,Discrete+AdaAggRL-detector,0.7372,46
0.05,fltrust_aligned,Discrete+AdaAggRL-detector,0.7527999999999999,46
0.05,trim_attack,Discrete+AdaAggRL-detector,0.6059,46
0.05,krum_collusion,Discrete+AdaAggRL-detector,0.6797000000000002,46
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector,0.7179,46
0.05,sign_flipping,Discrete+AdaAggRL-detector,0.5499,46
0.05,gaussian_noise,Discrete+AdaAggRL-detector,0.5383,46
0.05,label_flipping,Discrete+AdaAggRL-detector,0.7043999999999999,46
0.5,fltrust_aligned,Discrete+AdaAggRL-detector,0.8864000000000001,47
0.5,trim_attack,Discrete+AdaAggRL-detector,0.8623,47
0.5,krum_collusion,Discrete+AdaAggRL-detector,0.8832000000000001,47
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector,0.9017,47
0.5,sign_flipping,Discrete+AdaAggRL-detector,0.8280999999999998,47
0.5,gaussian_noise,Discrete+AdaAggRL-detector,0.8004,47
0.5,label_flipping,Discrete+AdaAggRL-detector,0.8765000000000001,47
0.1,fltrust_aligned,Discrete+AdaAggRL-detector,0.7821,47
0.1,trim_attack,Discrete+AdaAggRL-detector,0.4652,47
0.1,krum_collusion,Discrete+AdaAggRL-detector,0.6326,47
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8506,47
0.1,sign_flipping,Discrete+AdaAggRL-detector,0.6107,47
0.1,gaussian_noise,Discrete+AdaAggRL-detector,0.6417999999999999,47
0.1,label_flipping,Discrete+AdaAggRL-detector,0.7405,47
0.05,fltrust_aligned,Discrete+AdaAggRL-detector,0.7537,47
0.05,trim_attack,Discrete+AdaAggRL-detector,0.6108,47
0.05,krum_collusion,Discrete+AdaAggRL-detector,0.4443,47
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector,0.7181,47
0.05,sign_flipping,Discrete+AdaAggRL-detector,0.549,47
0.05,gaussian_noise,Discrete+AdaAggRL-detector,0.4891,47
0.05,label_flipping,Discrete+AdaAggRL-detector,0.682,47
0.5,fltrust_aligned,Discrete+AdaAggRL-detector,0.8854999999999998,48
0.5,trim_attack,Discrete+AdaAggRL-detector,0.851,48
0.5,krum_collusion,Discrete+AdaAggRL-detector,0.8697000000000001,48
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector,0.9014,48
0.5,sign_flipping,Discrete+AdaAggRL-detector,0.8288,48
0.5,gaussian_noise,Discrete+AdaAggRL-detector,0.8056000000000001,48
0.5,label_flipping,Discrete+AdaAggRL-detector,0.8791,48
0.1,fltrust_aligned,Discrete+AdaAggRL-detector,0.789,48
0.1,trim_attack,Discrete+AdaAggRL-detector,0.4765,48
0.1,krum_collusion,Discrete+AdaAggRL-detector,0.6465000000000001,48
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8568999999999999,48
0.1,sign_flipping,Discrete+AdaAggRL-detector,0.6161999999999999,48
0.1,gaussian_noise,Discrete+AdaAggRL-detector,0.6722,48
0.1,label_flipping,Discrete+AdaAggRL-detector,0.741,48
0.05,fltrust_aligned,Discrete+AdaAggRL-detector,0.7413,48
0.05,trim_attack,Discrete+AdaAggRL-detector,0.6077999999999999,48
0.05,krum_collusion,Discrete+AdaAggRL-detector,0.6809000000000001,48
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector,0.7197,48
0.05,sign_flipping,Discrete+AdaAggRL-detector,0.5556000000000001,48
0.05,gaussian_noise,Discrete+AdaAggRL-detector,0.5847,48
0.05,label_flipping,Discrete+AdaAggRL-detector,0.6704000000000001,48
0.5,fltrust_aligned,Discrete+AdaAggRL-detector,0.8863,49
0.5,trim_attack,Discrete+AdaAggRL-detector,0.8749,49
0.5,krum_collusion,Discrete+AdaAggRL-detector,0.8831,49
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector,0.9011,49
0.5,sign_flipping,Discrete+AdaAggRL-detector,0.8276999999999999,49
0.5,gaussian_noise,Discrete+AdaAggRL-detector,0.8017000000000001,49
0.5,label_flipping,Discrete+AdaAggRL-detector,0.8787,49
0.1,fltrust_aligned,Discrete+AdaAggRL-detector,0.7533,49
0.1,trim_attack,Discrete+AdaAggRL-detector,0.4657999999999999,49
0.1,krum_collusion,Discrete+AdaAggRL-detector,0.6439,49
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8538,49
0.1,sign_flipping,Discrete+AdaAggRL-detector,0.6113999999999999,49
0.1,gaussian_noise,Discrete+AdaAggRL-detector,0.6265000000000001,49
0.1,label_flipping,Discrete+AdaAggRL-detector,0.7391,49
0.05,fltrust_aligned,Discrete+AdaAggRL-detector,0.7563,49
0.05,trim_attack,Discrete+AdaAggRL-detector,0.6110000000000001,49
0.05,krum_collusion,Discrete+AdaAggRL-detector,0.6796000000000001,49
