system,mean_diff,p_value,cohens_d,n
AdaAggRL,0.030170952380952364,0.006465113868867409,1.1146832843045313,10
FedStrategist,-0.04375285714285716,3.695040039269813e-05,-2.3715206860225617,10
GRADF,-0.04246571428571427,0.0030548174885729608,-1.2686945761587811,10
Oracle (decoupled),0.012042857142857123,0.021216358291040238,0.8807875658150564,10
