alpha,attack_type,best_fixed_rule_accuracy,discrete_adaaggrl_detector_accuracy,random_accuracy,best_fixed_rule,det_std,bf_std,gap,combined_std,headroom
0.05,fltrust_aligned,0.89598,0.7495499999999999,0.74816,krum,0.008126123853897925,0.0004939635614091343,-0.14643000000000006,0.00862008741530706,False
0.05,gaussian_noise,0.73821,0.5344,0.73461,trimmed_mean,0.05160574903373977,0.0036622549216447546,-0.20381000000000005,0.055268003955384525,False
0.05,krum_collusion,0.6399,0.62192,0.61708,fltrust,0.09821745488681967,0.026775403306434454,-0.017979999999999996,0.12499285819325412,False
0.05,label_flipping,0.63995,0.59073,0.6612100000000001,fltrust,0.13742289191478335,0.03608721688108164,-0.04922000000000004,0.17351010879586498,False
0.05,low_mag_backdoor,0.76468,0.71897,0.83733,trimmed_mean,0.001650622778091832,0.0005808040403899963,-0.04571000000000003,0.002231426818481828,False
0.05,sign_flipping,0.6482699999999999,0.5519900000000001,0.57693,fltrust,0.003795157733510192,0.028793326773172083,-0.09627999999999981,0.03258848450668227,False
0.05,trim_attack,0.6490400000000001,0.57908,0.6689900000000001,fltrust,0.07279680701178527,0.026935404210815223,-0.06996000000000002,0.0997322112226005,False
0.1,fltrust_aligned,0.89445,0.7811100000000001,0.77032,krum,0.029787672692649945,0.0002798809270624665,-0.11333999999999989,0.030067553619712414,False
0.1,gaussian_noise,0.8051900000000002,0.6435299999999999,0.7824399999999999,trimmed_mean,0.024008611880832333,0.004350849214680844,-0.16166000000000025,0.028359461095513176,False
0.1,krum_collusion,0.62514,0.64166,0.63878,fltrust,0.006150194215542223,0.02742679954594295,0.01651999999999998,0.03357699376148517,False
0.1,label_flipping,0.62377,0.74018,0.7339,fltrust,0.0031165507999852487,0.026378444482822238,0.1164099999999999,0.029494995282807485,True
0.1,low_mag_backdoor,0.8310599999999999,0.8530899999999999,0.8564499999999999,trimmed_mean,0.00229174848338797,0.0004501851470969631,0.022029999999999994,0.002741933630484933,True
0.1,sign_flipping,0.6227699999999999,0.62117,0.6264900000000001,fltrust,0.02649704595694482,0.03502665810176267,-0.0015999999999999348,0.06152370405870749,False
0.1,trim_attack,0.62287,0.47747,0.64137,fltrust,0.024598737546648382,0.02738815843064704,-0.14540000000000003,0.05198689597729542,False
0.5,fltrust_aligned,0.89978,0.8873299999999998,0.88414,median,0.00136222856623503,0.00019321835661591835,-0.012450000000000183,0.0015554469228509485,False
0.5,gaussian_noise,0.89474,0.7810699999999999,0.88948,trimmed_mean,0.04311158776941531,0.0008369255907453379,-0.11367000000000005,0.043948513360160646,False
0.5,krum_collusion,0.88238,0.88382,0.8755499999999999,krum,0.005180261683651769,0.013587641443606054,0.0014399999999999968,0.018767903127257825,False
0.5,label_flipping,0.88595,0.8769199999999999,0.8674099999999999,trimmed_mean,0.0030904152903237477,0.0005212165257037634,-0.009030000000000094,0.003611631816027511,False
0.5,low_mag_backdoor,0.8985899999999999,0.8707899999999998,0.8951699999999999,trimmed_mean,0.031989909867540044,0.00035730472522303887,-0.027800000000000047,0.03234721459276308,False
0.5,sign_flipping,0.8844100000000001,0.8286899999999999,0.85122,krum,0.0009620002310002341,0.001111005550541155,-0.055720000000000214,0.002073005781541389,False
0.5,trim_attack,0.86913,0.86378,0.8497999999999999,trimmed_mean,0.0112118786214542,0.00047387293186627796,-0.005349999999999966,0.01168575155332048,False
