alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n
0.05,fltrust_aligned,Discrete+AdaAggRL-detector,0.7483,0.0,0.7483,0.7483,1.0
0.05,gaussian_noise,Discrete+AdaAggRL-detector,0.4346,0.0,0.4346,0.4346,1.0
0.05,krum_collusion,Discrete+AdaAggRL-detector,0.44530000000000003,0.0,0.44530000000000003,0.44530000000000003,1.0
0.05,label_flipping,Discrete+AdaAggRL-detector,0.4321999999999999,0.0,0.4321999999999999,0.4321999999999999,1.0
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector,0.7181,0.0,0.7181,0.7181,1.0
0.05,sign_flipping,Discrete+AdaAggRL-detector,0.5592,0.0,0.5592,0.5592,1.0
0.05,trim_attack,Discrete+AdaAggRL-detector,0.6036,0.0,0.6036,0.6036,1.0
0.1,fltrust_aligned,Discrete+AdaAggRL-detector,0.8478999999999999,0.0,0.8478999999999999,0.8478999999999999,1.0
0.1,gaussian_noise,Discrete+AdaAggRL-detector,0.6318,0.0,0.6318,0.6318,1.0
0.1,krum_collusion,Discrete+AdaAggRL-detector,0.6365999999999999,0.0,0.6365999999999999,0.6365999999999999,1.0
0.1,label_flipping,Discrete+AdaAggRL-detector,0.7417,0.0,0.7417,0.7417,1.0
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8487,0.0,0.8487,0.8487,1.0
0.1,sign_flipping,Discrete+AdaAggRL-detector,0.6207,0.0,0.6207,0.6207,1.0
0.1,trim_attack,Discrete+AdaAggRL-detector,0.5404,0.0,0.5404,0.5404,1.0
0.5,fltrust_aligned,Discrete+AdaAggRL-detector,0.8891,0.0,0.8891,0.8891,1.0
0.5,gaussian_noise,Discrete+AdaAggRL-detector,0.7895000000000001,0.0,0.7895000000000001,0.7895000000000001,1.0
0.5,krum_collusion,Discrete+AdaAggRL-detector,0.8863,0.0,0.8863,0.8863,1.0
0.5,label_flipping,Discrete+AdaAggRL-detector,0.8753,0.0,0.8753,0.8753,1.0
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector,0.843,0.0,0.843,0.843,1.0
0.5,sign_flipping,Discrete+AdaAggRL-detector,0.8298,0.0,0.8298,0.8298,1.0
0.5,trim_attack,Discrete+AdaAggRL-detector,0.8733000000000001,0.0,0.8733000000000001,0.8733000000000001,1.0
