alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n,best_fixed_rule,best_fixed_rule_accuracy
0.05,fltrust_aligned,AdaAggRL,0.7631000000000001,0.0,0.7631000000000001,0.7631000000000001,1.0,krum,0.89598
0.05,fltrust_aligned,FedStrategist,0.7594,0.0,0.7594,0.7594,1.0,krum,0.89598
0.05,fltrust_aligned,GRADF,0.7754000000000001,0.0,0.7754000000000001,0.7754000000000001,1.0,krum,0.89598
0.05,fltrust_aligned,Oracle (decoupled),0.7676000000000001,0.0,0.7676000000000001,0.7676000000000001,1.0,krum,0.89598
0.05,fltrust_aligned,Random,0.7465,0.0,0.7465,0.7465,1.0,krum,0.89598
0.05,gaussian_noise,AdaAggRL,0.8039,0.0,0.8039,0.8039,1.0,trimmed_mean,0.73821
0.05,gaussian_noise,FedStrategist,0.588,0.0,0.588,0.588,1.0,trimmed_mean,0.73821
0.05,gaussian_noise,GRADF,0.7374,0.0,0.7374,0.7374,1.0,trimmed_mean,0.73821
0.05,gaussian_noise,Oracle (decoupled),0.7638,0.0,0.7638,0.7638,1.0,trimmed_mean,0.73821
0.05,gaussian_noise,Random,0.7310999999999999,0.0,0.7310999999999999,0.7310999999999999,1.0,trimmed_mean,0.73821
0.05,krum_collusion,AdaAggRL,0.8065,0.0,0.8065,0.8065,1.0,fltrust,0.6399
0.05,krum_collusion,FedStrategist,0.6779999999999999,0.0,0.6779999999999999,0.6779999999999999,1.0,fltrust,0.6399
0.05,krum_collusion,GRADF,0.5589999999999999,0.0,0.5589999999999999,0.5589999999999999,1.0,fltrust,0.6399
0.05,krum_collusion,Oracle (decoupled),0.6943999999999999,0.0,0.6943999999999999,0.6943999999999999,1.0,fltrust,0.6399
0.05,krum_collusion,Random,0.6444000000000001,0.0,0.6444000000000001,0.6444000000000001,1.0,fltrust,0.6399
0.05,label_flipping,AdaAggRL,0.7157,0.0,0.7157,0.7157,1.0,fltrust,0.63995
0.05,label_flipping,FedStrategist,0.7034,0.0,0.7034,0.7034,1.0,fltrust,0.63995
0.05,label_flipping,GRADF,0.6516000000000001,0.0,0.6516000000000001,0.6516000000000001,1.0,fltrust,0.63995
0.05,label_flipping,Oracle (decoupled),0.6710999999999999,0.0,0.6710999999999999,0.6710999999999999,1.0,fltrust,0.63995
0.05,label_flipping,Random,0.6827000000000001,0.0,0.6827000000000001,0.6827000000000001,1.0,fltrust,0.63995
0.05,low_mag_backdoor,AdaAggRL,0.6891,0.0,0.6891,0.6891,1.0,trimmed_mean,0.76468
0.05,low_mag_backdoor,FedStrategist,0.7183999999999999,0.0,0.7183999999999999,0.7183999999999999,1.0,trimmed_mean,0.76468
0.05,low_mag_backdoor,GRADF,0.8459,0.0,0.8459,0.8459,1.0,trimmed_mean,0.76468
0.05,low_mag_backdoor,Oracle (decoupled),0.8459,0.0,0.8459,0.8459,1.0,trimmed_mean,0.76468
0.05,low_mag_backdoor,Random,0.8432999999999999,0.0,0.8432999999999999,0.8432999999999999,1.0,trimmed_mean,0.76468
0.05,sign_flipping,AdaAggRL,0.7807999999999999,0.0,0.7807999999999999,0.7807999999999999,1.0,fltrust,0.6482699999999999
0.05,sign_flipping,FedStrategist,0.5526000000000001,0.0,0.5526000000000001,0.5526000000000001,1.0,fltrust,0.6482699999999999
0.05,sign_flipping,GRADF,0.5555000000000001,0.0,0.5555000000000001,0.5555000000000001,1.0,fltrust,0.6482699999999999
0.05,sign_flipping,Oracle (decoupled),0.6317000000000002,0.0,0.6317000000000002,0.6317000000000002,1.0,fltrust,0.6482699999999999
0.05,sign_flipping,Random,0.5839,0.0,0.5839,0.5839,1.0,fltrust,0.6482699999999999
0.05,trim_attack,AdaAggRL,0.8078,0.0,0.8078,0.8078,1.0,fltrust,0.6490400000000001
0.05,trim_attack,FedStrategist,0.6056,0.0,0.6056,0.6056,1.0,fltrust,0.6490400000000001
0.05,trim_attack,GRADF,0.7910999999999999,0.0,0.7910999999999999,0.7910999999999999,1.0,fltrust,0.6490400000000001
0.05,trim_attack,Oracle (decoupled),0.4697,0.0,0.4697,0.4697,1.0,fltrust,0.6490400000000001
0.05,trim_attack,Random,0.5853999999999999,0.0,0.5853999999999999,0.5853999999999999,1.0,fltrust,0.6490400000000001
