alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n
0.05,fltrust_aligned,Discrete+AdaAggRL-detector,0.7373000000000001,0.0,0.7373000000000001,0.7373000000000001,1.0
0.05,gaussian_noise,Discrete+AdaAggRL-detector,0.5701,0.0,0.5701,0.5701,1.0
0.05,krum_collusion,Discrete+AdaAggRL-detector,0.6689,0.0,0.6689,0.6689,1.0
0.05,label_flipping,Discrete+AdaAggRL-detector,0.4372,0.0,0.4372,0.4372,1.0
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector,0.7217,0.0,0.7217,0.7217,1.0
0.05,sign_flipping,Discrete+AdaAggRL-detector,0.5494000000000001,0.0,0.5494000000000001,0.5494000000000001,1.0
0.05,trim_attack,Discrete+AdaAggRL-detector,0.607,0.0,0.607,0.607,1.0
0.1,fltrust_aligned,Discrete+AdaAggRL-detector,0.7943000000000001,0.0,0.7943000000000001,0.7943000000000001,1.0
0.1,gaussian_noise,Discrete+AdaAggRL-detector,0.6065,0.0,0.6065,0.6065,1.0
0.1,krum_collusion,Discrete+AdaAggRL-detector,0.6403,0.0,0.6403,0.6403,1.0
0.1,label_flipping,Discrete+AdaAggRL-detector,0.7436999999999999,0.0,0.7436999999999999,0.7436999999999999,1.0
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8534,0.0,0.8534,0.8534,1.0
0.1,sign_flipping,Discrete+AdaAggRL-detector,0.6087,0.0,0.6087,0.6087,1.0
0.1,trim_attack,Discrete+AdaAggRL-detector,0.48950000000000005,0.0,0.48950000000000005,0.48950000000000005,1.0
0.5,fltrust_aligned,Discrete+AdaAggRL-detector,0.8865000000000001,0.0,0.8865000000000001,0.8865000000000001,1.0
0.5,gaussian_noise,Discrete+AdaAggRL-detector,0.7947000000000001,0.0,0.7947000000000001,0.7947000000000001,1.0
0.5,krum_collusion,Discrete+AdaAggRL-detector,0.8848,0.0,0.8848,0.8848,1.0
0.5,label_flipping,Discrete+AdaAggRL-detector,0.8741,0.0,0.8741,0.8741,1.0
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8407,0.0,0.8407,0.8407,1.0
0.5,sign_flipping,Discrete+AdaAggRL-detector,0.8277999999999999,0.0,0.8277999999999999,0.8277999999999999,1.0
0.5,trim_attack,Discrete+AdaAggRL-detector,0.8734,0.0,0.8734,0.8734,1.0
