alpha,attack_type,system,accuracy,seed
0.05,krum_collusion,Discrete+AdaAggRL-detector(random),0.6776,43
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.7196,43
0.05,sign_flipping,Discrete+AdaAggRL-detector(random),0.5503000000000002,43
0.05,gaussian_noise,Discrete+AdaAggRL-detector(random),0.5761,43
0.05,label_flipping,Discrete+AdaAggRL-detector(random),0.4345,43
0.5,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.8867,44
0.5,trim_attack,Discrete+AdaAggRL-detector(random),0.8412,44
0.5,krum_collusion,Discrete+AdaAggRL-detector(random),0.8873,44
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.8443999999999999,44
0.5,sign_flipping,Discrete+AdaAggRL-detector(random),0.8297000000000001,44
0.5,gaussian_noise,Discrete+AdaAggRL-detector(random),0.655,44
0.5,label_flipping,Discrete+AdaAggRL-detector(random),0.8798,44
0.1,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.7499,44
0.1,trim_attack,Discrete+AdaAggRL-detector(random),0.4646,44
0.1,krum_collusion,Discrete+AdaAggRL-detector(random),0.6429,44
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.8536999999999999,44
0.1,sign_flipping,Discrete+AdaAggRL-detector(random),0.6066,44
0.1,gaussian_noise,Discrete+AdaAggRL-detector(random),0.6912,44
0.1,label_flipping,Discrete+AdaAggRL-detector(random),0.7394999999999999,44
0.05,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.7654,44
0.05,trim_attack,Discrete+AdaAggRL-detector(random),0.6095999999999999,44
0.05,krum_collusion,Discrete+AdaAggRL-detector(random),0.674,44
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.7166999999999999,44
0.05,sign_flipping,Discrete+AdaAggRL-detector(random),0.5479,44
0.05,gaussian_noise,Discrete+AdaAggRL-detector(random),0.5772999999999999,44
0.05,label_flipping,Discrete+AdaAggRL-detector(random),0.4346,44
0.5,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.8901,45
0.5,trim_attack,Discrete+AdaAggRL-detector(random),0.873,45
0.5,krum_collusion,Discrete+AdaAggRL-detector(random),0.8863999999999999,45
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.8397,45
0.5,sign_flipping,Discrete+AdaAggRL-detector(random),0.8317,45
0.5,gaussian_noise,Discrete+AdaAggRL-detector(random),0.7902,45
0.5,label_flipping,Discrete+AdaAggRL-detector(random),0.8766,45
0.1,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.8563000000000001,45
0.1,trim_attack,Discrete+AdaAggRL-detector(random),0.5251000000000001,45
0.1,krum_collusion,Discrete+AdaAggRL-detector(random),0.6345,45
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.8487,45
0.1,sign_flipping,Discrete+AdaAggRL-detector(random),0.6108999999999999,45
0.1,gaussian_noise,Discrete+AdaAggRL-detector(random),0.651,45
0.1,label_flipping,Discrete+AdaAggRL-detector(random),0.7432,45
0.05,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.7465,45
0.05,trim_attack,Discrete+AdaAggRL-detector(random),0.6069,45
0.05,krum_collusion,Discrete+AdaAggRL-detector(random),0.4476,45
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.7191,45
0.05,sign_flipping,Discrete+AdaAggRL-detector(random),0.5563,45
0.05,gaussian_noise,Discrete+AdaAggRL-detector(random),0.4303,45
0.05,label_flipping,Discrete+AdaAggRL-detector(random),0.4365,45
0.5,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.8884000000000001,46
0.5,trim_attack,Discrete+AdaAggRL-detector(random),0.8714000000000001,46
0.5,krum_collusion,Discrete+AdaAggRL-detector(random),0.8698,46
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.8402999999999998,46
0.5,sign_flipping,Discrete+AdaAggRL-detector(random),0.8281000000000001,46
0.5,gaussian_noise,Discrete+AdaAggRL-detector(random),0.7722,46
0.5,label_flipping,Discrete+AdaAggRL-detector(random),0.8783999999999998,46
0.1,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.7843,46
0.1,trim_attack,Discrete+AdaAggRL-detector(random),0.4581999999999999,46
0.1,krum_collusion,Discrete+AdaAggRL-detector(random),0.6531,46
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.8539999999999999,46
0.1,sign_flipping,Discrete+AdaAggRL-detector(random),0.6205,46
0.1,gaussian_noise,Discrete+AdaAggRL-detector(random),0.6300000000000001,46
0.1,label_flipping,Discrete+AdaAggRL-detector(random),0.7337999999999999,46
0.05,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.7539,46
0.05,trim_attack,Discrete+AdaAggRL-detector(random),0.607,46
0.05,krum_collusion,Discrete+AdaAggRL-detector(random),0.681,46
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.8587999999999999,46
0.05,sign_flipping,Discrete+AdaAggRL-detector(random),0.5508000000000001,46
0.05,gaussian_noise,Discrete+AdaAggRL-detector(random),0.4772,46
0.05,label_flipping,Discrete+AdaAggRL-detector(random),0.7035,46
0.5,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.8864000000000001,47
0.5,trim_attack,Discrete+AdaAggRL-detector(random),0.8603,47
0.5,krum_collusion,Discrete+AdaAggRL-detector(random),0.8842000000000001,47
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.9021,47
0.5,sign_flipping,Discrete+AdaAggRL-detector(random),0.8276999999999999,47
0.5,gaussian_noise,Discrete+AdaAggRL-detector(random),0.8004,47
0.5,label_flipping,Discrete+AdaAggRL-detector(random),0.8779999999999999,47
0.1,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.7833000000000001,47
0.1,trim_attack,Discrete+AdaAggRL-detector(random),0.4643,47
0.1,krum_collusion,Discrete+AdaAggRL-detector(random),0.6452000000000001,47
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.8504999999999999,47
0.1,sign_flipping,Discrete+AdaAggRL-detector(random),0.6102,47
0.1,gaussian_noise,Discrete+AdaAggRL-detector(random),0.6435000000000001,47
0.1,label_flipping,Discrete+AdaAggRL-detector(random),0.742,47
0.05,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.7339,47
0.05,trim_attack,Discrete+AdaAggRL-detector(random),0.61,47
0.05,krum_collusion,Discrete+AdaAggRL-detector(random),0.6795,47
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.7186,47
0.05,sign_flipping,Discrete+AdaAggRL-detector(random),0.5488999999999999,47
0.05,gaussian_noise,Discrete+AdaAggRL-detector(random),0.4923,47
0.05,label_flipping,Discrete+AdaAggRL-detector(random),0.4393999999999999,47
0.5,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.8854,48
0.5,trim_attack,Discrete+AdaAggRL-detector(random),0.8568000000000001,48
0.5,krum_collusion,Discrete+AdaAggRL-detector(random),0.8703,48
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.902,48
0.5,sign_flipping,Discrete+AdaAggRL-detector(random),0.8265,48
0.5,gaussian_noise,Discrete+AdaAggRL-detector(random),0.8056999999999999,48
0.5,label_flipping,Discrete+AdaAggRL-detector(random),0.8792,48
0.1,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.7647,48
0.1,trim_attack,Discrete+AdaAggRL-detector(random),0.5328,48
0.1,krum_collusion,Discrete+AdaAggRL-detector(random),0.6394,48
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.8505,48
0.1,sign_flipping,Discrete+AdaAggRL-detector(random),0.6171,48
0.1,gaussian_noise,Discrete+AdaAggRL-detector(random),0.673,48
0.1,label_flipping,Discrete+AdaAggRL-detector(random),0.741,48
0.05,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.7510999999999999,48
0.05,trim_attack,Discrete+AdaAggRL-detector(random),0.6079,48
0.05,krum_collusion,Discrete+AdaAggRL-detector(random),0.6778,48
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.7175999999999999,48
0.05,sign_flipping,Discrete+AdaAggRL-detector(random),0.5544,48
0.05,gaussian_noise,Discrete+AdaAggRL-detector(random),0.5822999999999999,48
0.05,label_flipping,Discrete+AdaAggRL-detector(random),0.4330999999999999,48
0.5,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.8876000000000002,49
0.5,trim_attack,Discrete+AdaAggRL-detector(random),0.8731,49
0.5,krum_collusion,Discrete+AdaAggRL-detector(random),0.885,49
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.8868,49
0.5,sign_flipping,Discrete+AdaAggRL-detector(random),0.8311999999999999,49
0.5,gaussian_noise,Discrete+AdaAggRL-detector(random),0.8009999999999999,49
0.5,label_flipping,Discrete+AdaAggRL-detector(random),0.8785999999999999,49
0.1,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.7798,49
0.1,trim_attack,Discrete+AdaAggRL-detector(random),0.4643,49
0.1,krum_collusion,Discrete+AdaAggRL-detector(random),0.6456999999999999,49
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.8536999999999999,49
0.1,sign_flipping,Discrete+AdaAggRL-detector(random),0.6102,49
0.1,gaussian_noise,Discrete+AdaAggRL-detector(random),0.6263,49
0.1,label_flipping,Discrete+AdaAggRL-detector(random),0.7375999999999999,49
0.05,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.763,49
0.05,trim_attack,Discrete+AdaAggRL-detector(random),0.6094,49
0.05,krum_collusion,Discrete+AdaAggRL-detector(random),0.6788,49
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.7175,49
0.05,sign_flipping,Discrete+AdaAggRL-detector(random),0.5557000000000001,49
0.05,gaussian_noise,Discrete+AdaAggRL-detector(random),0.4916,49
0.05,label_flipping,Discrete+AdaAggRL-detector(random),0.4347999999999999,49
0.5,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.8873,50
0.5,trim_attack,Discrete+AdaAggRL-detector(random),0.8511999999999998,50
0.5,krum_collusion,Discrete+AdaAggRL-detector(random),0.8864000000000001,50
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.8419999999999999,50
0.5,sign_flipping,Discrete+AdaAggRL-detector(random),0.8282,50
0.5,gaussian_noise,Discrete+AdaAggRL-detector(random),0.8058,50
0.5,label_flipping,Discrete+AdaAggRL-detector(random),0.8795,50
0.1,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.7463,50
0.1,trim_attack,Discrete+AdaAggRL-detector(random),0.4558,50
0.1,krum_collusion,Discrete+AdaAggRL-detector(random),0.6506000000000001,50
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.8544,50
0.1,sign_flipping,Discrete+AdaAggRL-detector(random),0.6955,50
0.1,gaussian_noise,Discrete+AdaAggRL-detector(random),0.6338999999999999,50
0.1,label_flipping,Discrete+AdaAggRL-detector(random),0.7365,50
0.05,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.7404,50
0.05,trim_attack,Discrete+AdaAggRL-detector(random),0.3755,50
0.05,krum_collusion,Discrete+AdaAggRL-detector(random),0.6857,50
