alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n,best_fixed_rule,best_fixed_rule_accuracy
0.05,fltrust_aligned,FedStrategist,0.7478,0.0,0.7478,0.7478,1.0,krum,0.89598
0.05,gaussian_noise,FedStrategist,0.43789999999999996,0.0,0.43789999999999996,0.43789999999999996,1.0,trimmed_mean,0.73821
0.05,krum_collusion,FedStrategist,0.6534,0.0,0.6534,0.6534,1.0,fltrust,0.6399
0.05,label_flipping,FedStrategist,0.6781,0.0,0.6781,0.6781,1.0,fltrust,0.63995
0.05,low_mag_backdoor,FedStrategist,0.7261,0.0,0.7261,0.7261,1.0,trimmed_mean,0.76468
0.05,sign_flipping,FedStrategist,0.5535,0.0,0.5535,0.5535,1.0,fltrust,0.6482699999999999
0.05,trim_attack,FedStrategist,0.6019,0.0,0.6019,0.6019,1.0,fltrust,0.6490400000000001
0.1,fltrust_aligned,FedStrategist,0.7506999999999999,0.0,0.7506999999999999,0.7506999999999999,1.0,krum,0.89445
0.1,gaussian_noise,FedStrategist,0.6503,0.0,0.6503,0.6503,1.0,trimmed_mean,0.8051900000000002
0.1,krum_collusion,FedStrategist,0.6324000000000002,0.0,0.6324000000000002,0.6324000000000002,1.0,fltrust,0.62514
0.1,label_flipping,FedStrategist,0.7441,0.0,0.7441,0.7441,1.0,fltrust,0.62377
0.1,low_mag_backdoor,FedStrategist,0.8492,0.0,0.8492,0.8492,1.0,trimmed_mean,0.8310599999999999
0.1,sign_flipping,FedStrategist,0.615,0.0,0.615,0.615,1.0,fltrust,0.6227699999999999
0.1,trim_attack,FedStrategist,0.4567,0.0,0.4567,0.4567,1.0,fltrust,0.62287
0.5,fltrust_aligned,FedStrategist,0.8859999999999999,0.0,0.8859999999999999,0.8859999999999999,1.0,median,0.89978
0.5,gaussian_noise,FedStrategist,0.7082999999999999,0.0,0.7082999999999999,0.7082999999999999,1.0,trimmed_mean,0.89474
0.5,krum_collusion,FedStrategist,0.8865999999999999,0.0,0.8865999999999999,0.8865999999999999,1.0,krum,0.88238
0.5,label_flipping,FedStrategist,0.8793000000000001,0.0,0.8793000000000001,0.8793000000000001,1.0,trimmed_mean,0.88595
0.5,low_mag_backdoor,FedStrategist,0.8413999999999999,0.0,0.8413999999999999,0.8413999999999999,1.0,trimmed_mean,0.8985899999999999
0.5,sign_flipping,FedStrategist,0.8311999999999999,0.0,0.8311999999999999,0.8311999999999999,1.0,krum,0.8844100000000001
0.5,trim_attack,FedStrategist,0.8733999999999998,0.0,0.8733999999999998,0.8733999999999998,1.0,trimmed_mean,0.86913
