alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n
0.05,fltrust_aligned,BestFixedRule,0.89598,0.0004939635614091343,0.8956266397550481,0.8963333602449519,10.0
0.05,fltrust_aligned,Discrete+AdaAggRL-detector,0.7495499999999999,0.008126123853897925,0.7437369211823411,0.7553630788176587,10.0
0.05,fltrust_aligned,Random,0.74816,0.027314473167982654,0.7286204029863332,0.7676995970136669,10.0
0.05,gaussian_noise,BestFixedRule,0.73821,0.0036622549216447546,0.7355901806503764,0.7408298193496237,10.0
0.05,gaussian_noise,Discrete+AdaAggRL-detector,0.5344,0.05160574903373977,0.4974834710409253,0.5713165289590747,10.0
0.05,gaussian_noise,Random,0.73461,0.025628692687862345,0.7162763376947378,0.7529436623052622,10.0
0.05,krum_collusion,BestFixedRule,0.6399,0.026775403306434454,0.6207460303345924,0.6590539696654076,10.0
0.05,krum_collusion,Discrete+AdaAggRL-detector,0.62192,0.09821745488681967,0.5516594653598513,0.6921805346401487,10.0
0.05,krum_collusion,Random,0.61708,0.03545362542188819,0.5917180042127551,0.6424419957872448,10.0
0.05,label_flipping,BestFixedRule,0.63995,0.03608721688108164,0.6141347601868571,0.665765239813143,10.0
0.05,label_flipping,Discrete+AdaAggRL-detector,0.59073,0.13742289191478335,0.4924235852302995,0.6890364147697005,10.0
0.05,label_flipping,Random,0.6612100000000001,0.019722995602989814,0.6471010188889723,0.6753189811110278,10.0
0.05,low_mag_backdoor,BestFixedRule,0.76468,0.0005808040403899963,0.7642645178186914,0.7650954821813086,10.0
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector,0.71897,0.001650622778091832,0.7177892155965395,0.7201507844034605,10.0
0.05,low_mag_backdoor,Random,0.83733,0.01580780749432944,0.8260217757406766,0.8486382242593234,10.0
0.05,sign_flipping,BestFixedRule,0.6482699999999999,0.028793326773172083,0.6276724948469412,0.6688675051530586,10.0
