alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n,best_fixed_rule,best_fixed_rule_accuracy
0.05,fltrust_aligned,Discrete+AdaAggRL-detector,0.7471,0.0,0.7471,0.7471,1.0,krum,0.89598
0.05,gaussian_noise,Discrete+AdaAggRL-detector,0.5874,0.0,0.5874,0.5874,1.0,trimmed_mean,0.73821
0.05,krum_collusion,Discrete+AdaAggRL-detector,0.6592,0.0,0.6592,0.6592,1.0,fltrust,0.6399
0.05,label_flipping,Discrete+AdaAggRL-detector,0.7079,0.0,0.7079,0.7079,1.0,fltrust,0.63995
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector,0.7182,0.0,0.7182,0.7182,1.0,trimmed_mean,0.76468
0.05,sign_flipping,Discrete+AdaAggRL-detector,0.5486000000000001,0.0,0.5486000000000001,0.5486000000000001,1.0,fltrust,0.6482699999999999
0.05,trim_attack,Discrete+AdaAggRL-detector,0.6067,0.0,0.6067,0.6067,1.0,fltrust,0.6490400000000001
0.1,fltrust_aligned,Discrete+AdaAggRL-detector,0.7849000000000002,0.0,0.7849000000000002,0.7849000000000002,1.0,krum,0.89445
0.1,gaussian_noise,Discrete+AdaAggRL-detector,0.6228,0.0,0.6228,0.6228,1.0,trimmed_mean,0.8051900000000002
0.1,krum_collusion,Discrete+AdaAggRL-detector,0.6339,0.0,0.6339,0.6339,1.0,fltrust,0.62514
0.1,label_flipping,Discrete+AdaAggRL-detector,0.7452,0.0,0.7452,0.7452,1.0,fltrust,0.62377
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8532,0.0,0.8532,0.8532,1.0,trimmed_mean,0.8310599999999999
0.1,sign_flipping,Discrete+AdaAggRL-detector,0.6137,0.0,0.6137,0.6137,1.0,fltrust,0.6227699999999999
0.1,trim_attack,Discrete+AdaAggRL-detector,0.46370000000000006,0.0,0.46370000000000006,0.46370000000000006,1.0,fltrust,0.62287
0.5,fltrust_aligned,Discrete+AdaAggRL-detector,0.8912000000000001,0.0,0.8912000000000001,0.8912000000000001,1.0,median,0.89978
0.5,gaussian_noise,Discrete+AdaAggRL-detector,0.7893000000000001,0.0,0.7893000000000001,0.7893000000000001,1.0,trimmed_mean,0.89474
0.5,krum_collusion,Discrete+AdaAggRL-detector,0.8865999999999999,0.0,0.8865999999999999,0.8865999999999999,1.0,krum,0.88238
0.5,label_flipping,Discrete+AdaAggRL-detector,0.8793,0.0,0.8793,0.8793,1.0,trimmed_mean,0.88595
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector,0.9024000000000001,0.0,0.9024000000000001,0.9024000000000001,1.0,trimmed_mean,0.8985899999999999
0.5,sign_flipping,Discrete+AdaAggRL-detector,0.8295999999999999,0.0,0.8295999999999999,0.8295999999999999,1.0,krum,0.8844100000000001
0.5,trim_attack,Discrete+AdaAggRL-detector,0.8653000000000001,0.0,0.8653000000000001,0.8653000000000001,1.0,trimmed_mean,0.86913
