alpha,attack_type,winner,winner_accuracy,runner_up,runner_up_accuracy,gap,combined_std,gap_exceeds_std
0.05,fltrust_aligned,krum,0.8960666666666667,fltrust,0.89481,0.0012566666666666837,0.0011819849852235144,True
0.05,gaussian_noise,fltrust,0.82086,trimmed_mean,0.7374333333333333,0.08342666666666676,0.01751937696721499,True
0.05,krum_collusion,fltrust,0.8228899999999999,trimmed_mean,0.4698666666666666,0.3530233333333333,0.010903594477492305,True
0.05,label_flipping,fltrust,0.82692,trimmed_mean,0.5959666666666666,0.23095333333333334,0.007617542663102895,True
0.05,low_mag_backdoor,fltrust,0.8724000000000001,trimmed_mean,0.7646000000000001,0.1078,0.003078266051246101,True
0.05,sign_flipping,fltrust,0.8297000000000001,trimmed_mean,0.5075,0.32220000000000015,0.013616147808458615,True
0.05,trim_attack,fltrust,0.82269,trimmed_mean,0.4178666666666666,0.4048233333333334,0.014190319602838631,True
0.1,fltrust_aligned,fltrust,0.89552,krum,0.8946333333333332,0.0008866666666668133,0.0008402706701404625,True
0.1,gaussian_noise,fltrust,0.8490599999999999,trimmed_mean,0.8041666666666668,0.04489333333333312,0.013107921953863651,True
0.1,krum_collusion,fltrust,0.85045,trimmed_mean,0.4273666666666667,0.42308333333333337,0.010186849966000163,True
0.1,label_flipping,fltrust,0.84749,trimmed_mean,0.5924666666666666,0.2550233333333334,0.009363519315563151,True
0.1,low_mag_backdoor,fltrust,0.8803199999999999,trimmed_mean,0.8313333333333333,0.04898666666666662,0.0021917594584103923,True
0.1,sign_flipping,fltrust,0.84698,trimmed_mean,0.43886666666666657,0.4081133333333334,0.009044675438163275,True
0.1,trim_attack,fltrust,0.85076,median,0.4056333333333333,0.44512666666666667,0.009992593907664667,True
0.5,fltrust_aligned,median,0.9,fltrust,0.8996700000000002,0.00032999999999983043,0.00032676869155089626,True
0.5,gaussian_noise,trimmed_mean,0.8947666666666668,fltrust,0.8941500000000001,0.0006166666666667098,0.0011844341708977162,False
0.5,krum_collusion,fltrust,0.8941000000000001,trimmed_mean,0.8799666666666667,0.014133333333333442,0.0006036474433302996,True
0.5,label_flipping,fltrust,0.8941100000000001,krum,0.8870333333333335,0.00707666666666662,0.0003496732630017263,True
0.5,low_mag_backdoor,fltrust,0.9005000000000001,trimmed_mean,0.8984333333333333,0.002066666666666772,0.0005663950291202737,True
0.5,sign_flipping,fltrust,0.89405,krum,0.8847999999999999,0.009250000000000091,0.001126225481703342,True
0.5,trim_attack,fltrust,0.8939400000000001,trimmed_mean,0.8689333333333332,0.025006666666666844,0.0009172416680702857,True
