alpha,attack_type,system_b,variant_b,accuracy_b,seed,system_a,variant_a,accuracy_a,delta_b_minus_a
0.05,krum_collusion,FedStrategist,b,0.6769,44,FedStrategist,a,0.6851,-0.008200000000000096
0.05,low_mag_backdoor,FedStrategist,b,0.7202999999999999,44,FedStrategist,a,0.7233999999999999,-0.0030999999999999917
0.05,sign_flipping,FedStrategist,b,0.5502,44,FedStrategist,a,0.5464,0.0038000000000000256
0.05,gaussian_noise,FedStrategist,b,0.5783,44,FedStrategist,a,0.5715,0.006800000000000028
0.05,label_flipping,FedStrategist,b,0.7106,44,FedStrategist,a,0.7062999999999999,0.0043000000000000815
0.5,fltrust_aligned,FedStrategist,b,0.8863,45,FedStrategist,a,0.8859999999999999,0.000300000000000078
0.5,trim_attack,FedStrategist,b,0.8718,45,FedStrategist,a,0.8733999999999998,-0.0015999999999998238
0.5,krum_collusion,FedStrategist,b,0.89,45,FedStrategist,a,0.8865999999999999,0.0034000000000000696
0.5,low_mag_backdoor,FedStrategist,b,0.8394999999999999,45,FedStrategist,a,0.8413999999999999,-0.0019000000000000128
0.5,sign_flipping,FedStrategist,b,0.8306999999999999,45,FedStrategist,a,0.8311999999999999,-0.000500000000000056
0.5,gaussian_noise,FedStrategist,b,0.7905000000000001,45,FedStrategist,a,0.7082999999999999,0.08220000000000016
0.5,label_flipping,FedStrategist,b,0.8764,45,FedStrategist,a,0.8793000000000001,-0.0029000000000001247
0.1,fltrust_aligned,FedStrategist,b,0.7516999999999999,45,FedStrategist,a,0.7506999999999999,0.0010000000000000009
0.1,trim_attack,FedStrategist,b,0.527,45,FedStrategist,a,0.4567,0.07030000000000003
0.1,krum_collusion,FedStrategist,b,0.6424,45,FedStrategist,a,0.6324000000000002,0.009999999999999787
0.1,low_mag_backdoor,FedStrategist,b,0.8476000000000001,45,FedStrategist,a,0.8492,-0.0015999999999998238
0.1,sign_flipping,FedStrategist,b,0.6187,45,FedStrategist,a,0.615,0.0037000000000000366
0.1,gaussian_noise,FedStrategist,b,0.6144999999999998,45,FedStrategist,a,0.6503,-0.035800000000000165
0.1,label_flipping,FedStrategist,b,0.7407999999999999,45,FedStrategist,a,0.7441,-0.0033000000000000806
0.05,fltrust_aligned,FedStrategist,b,0.744,45,FedStrategist,a,0.7478,-0.0038000000000000256
0.05,trim_attack,FedStrategist,b,0.603,45,FedStrategist,a,0.6019,0.0010999999999999899
0.05,krum_collusion,FedStrategist,b,0.4447,45,FedStrategist,a,0.6534,-0.2087
0.05,low_mag_backdoor,FedStrategist,b,0.7187999999999999,45,FedStrategist,a,0.7261,-0.007300000000000084
0.05,sign_flipping,FedStrategist,b,0.5538000000000001,45,FedStrategist,a,0.5535,0.000300000000000078
0.05,gaussian_noise,FedStrategist,b,0.4301999999999999,45,FedStrategist,a,0.4378999999999999,-0.007699999999999985
0.05,label_flipping,FedStrategist,b,0.4373999999999999,45,FedStrategist,a,0.6781,-0.24070000000000014
0.5,fltrust_aligned,FedStrategist,b,0.8887,46,FedStrategist,a,0.8846,0.0040999999999999925
0.5,trim_attack,FedStrategist,b,0.8602000000000001,46,FedStrategist,a,0.8606,-0.00039999999999995595
0.5,krum_collusion,FedStrategist,b,0.8693,46,FedStrategist,a,0.8880000000000001,-0.01870000000000016
0.5,low_mag_backdoor,FedStrategist,b,0.9008,46,FedStrategist,a,0.8405999999999999,0.06020000000000014
0.5,sign_flipping,FedStrategist,b,0.8272,46,FedStrategist,a,0.8055,0.021700000000000053
0.5,gaussian_noise,FedStrategist,b,0.7735000000000001,46,FedStrategist,a,0.79,-0.01649999999999996
0.5,label_flipping,FedStrategist,b,0.8766,46,FedStrategist,a,0.8835999999999998,-0.006999999999999784
