alpha,attack_type,system,variant,accuracy,seed
0.5,fltrust_aligned,FedStrategist,a,0.8837999999999999,47
0.5,trim_attack,FedStrategist,a,0.8579999999999999,47
0.5,krum_collusion,FedStrategist,a,0.8189,47
0.5,low_mag_backdoor,FedStrategist,a,0.843,47
0.5,sign_flipping,FedStrategist,a,0.8070999999999999,47
0.5,gaussian_noise,FedStrategist,a,0.8051,47
0.5,label_flipping,FedStrategist,a,0.884,47
0.1,fltrust_aligned,FedStrategist,a,0.7823,47
0.1,trim_attack,FedStrategist,a,0.6186,47
0.1,krum_collusion,FedStrategist,a,0.613,47
0.1,low_mag_backdoor,FedStrategist,a,0.8529,47
0.1,sign_flipping,FedStrategist,a,0.6063999999999999,47
0.1,gaussian_noise,FedStrategist,a,0.7329,47
0.1,label_flipping,FedStrategist,a,0.7933,47
0.05,fltrust_aligned,FedStrategist,a,0.7306999999999999,47
0.05,trim_attack,FedStrategist,a,0.6106999999999999,47
0.05,krum_collusion,FedStrategist,a,0.62,47
0.05,low_mag_backdoor,FedStrategist,a,0.8337,47
0.05,sign_flipping,FedStrategist,a,0.5494,47
0.05,gaussian_noise,FedStrategist,a,0.488,47
0.05,label_flipping,FedStrategist,a,0.44519999999999993,47
